station_name,station_rating,station_review_count,city,postal_code,county,departement,region,latitude,longitude
Lus la Jarjatte,5.0,1,Lus-la-Croix-Haute,26620,Die,Drôme,Auvergne-Rhône-Alpes,44.679971,5.7661523
Panticosa,5.0,1,,,,,,,
Formigal,4.5,21,,,,,,,
Cerler,4.5,10,,,,,,,
Baqueira / Beret,4.5,0,,,,,,,
Val d'Isère,4.4,125,Val-d'Isère,73150,Albertville,Savoie,Auvergne-Rhône-Alpes,45.4498666,6.9804421
La Grave,4.4,69,La Grave,05320,Briançon,Hautes-Alpes,Provence-Alpes-Côte d'Azur,45.0455379,6.3068184
La Sambuy,4.4,24,,,,,,,
Le granier,4.4,8,Aime-la-Plagne,73210,Albertville,Savoie,Auvergne-Rhône-Alpes,45.60089445,6.62550908591405
Mont-Saxonnex,4.4,7,Mont-Saxonnex,74130,Bonneville,Haute-Savoie,Auvergne-Rhône-Alpes,46.0508713,6.4792764
Les Karellis,4.3,50,Montricher-Albanne,73870,Saint-Jean-de-Maurienne,Savoie,Auvergne-Rhône-Alpes,45.215851,6.399584218507
Peisey-Vallandry,4.3,22,,,,,,,
Le Mourtis,4.3,22,,,,,,,
Lans en Vercors,4.3,17,Lans-en-Vercors,38250,Grenoble,Isère,Auvergne-Rhône-Alpes,45.1277768,5.5891386
La Giettaz en Aravis,4.3,13,La Giettaz,73590,Albertville,Savoie,Auvergne-Rhône-Alpes,45.8827863,6.5334974
Sainte-Anne,4.3,11,Sainte-Anne,97180,Pointe-à-Pitre,Pointe-à-Pitre,Guadeloupe,16.225685,-61.3859128
Pic du Midi de Bigorre,4.3,10,Bagnères-de-Bigorre,,Bagnères-de-Bigorre,Hautes-Pyrénées,Occitanie,42.9367764,0.1416107
Saint Hugues Les Egaux,4.3,8,,,,,,,
Bessans,4.3,4,Bessans,73480,Saint-Jean-de-Maurienne,Savoie,Auvergne-Rhône-Alpes,45.3205925,6.9940386
Serre Eyraud,4.3,1,Serre-Eyraud,,Gap,Hautes-Alpes,Provence-Alpes-Côte d'Azur,44.6790111,6.2752537
Pelvoux-Vallouise,4.3,0,Vallouise-Pelvoux,05340,Briançon,Hautes-Alpes,Provence-Alpes-Côte d'Azur,44.9031062,6.44194549957462
Les Sept Laux,4.2,143,,,,,,,
Crévoux,4.2,13,Crévoux,05200,Gap,Hautes-Alpes,Provence-Alpes-Côte d'Azur,44.5478999,6.607694
La Bouloie,4.2,6,,,,,,,
Champagny en Vanoise,4.2,6,Champagny-en-Vanoise,73350,Albertville,Savoie,Auvergne-Rhône-Alpes,45.4551515,6.6942009
Avoriaz,4.1,110,,,,,,,
Méribel,4.1,86,,,,,,,
Courchevel,4.1,82,Courchevel,73120,Albertville,Savoie,Auvergne-Rhône-Alpes,45.3895523,6.64458192043796
Arêches Beaufort,4.1,66,Beaufort,73270,Albertville,Savoie,Auvergne-Rhône-Alpes,45.66298915,6.5663190908779
Vars,4.1,52,Vars,05560,Briançon,Hautes-Alpes,Provence-Alpes-Côte d'Azur,44.5938264,6.689913
Saint Pierre de Chartreuse,4.1,48,Saint-Pierre-de-Chartreuse,38380,Grenoble,Isère,Auvergne-Rhône-Alpes,45.3422689,5.8146864
Bonneval,4.1,19,Bonneval,43160,Brioude,Haute-Loire,Auvergne-Rhône-Alpes,45.3120931,3.7409368
Courchevel - La Tania,4.1,11,,,,,,,
La Clusaz,4.0,151,La Clusaz,74220,Annecy,Haute-Savoie,Auvergne-Rhône-Alpes,45.9043659,6.4239011
Valloire,4.0,80,Valloire,73450,Saint-Jean-de-Maurienne,Savoie,Auvergne-Rhône-Alpes,45.165058,6.4290103
Sainte Foy,4.0,21,,,,,,,
Saint Jean d'Arves,4.0,9,Saint-Jean-d'Arves,73530,Saint-Jean-de-Maurienne,Savoie,Auvergne-Rhône-Alpes,45.2061981,6.2731278
Saint Martin de Belleville,4.0,8,Les Belleville,73440,Albertville,Savoie,Auvergne-Rhône-Alpes,45.3503871,6.50007613696058
St Léger-les-Mélèzes,4.0,7,Saint-Léger-les-Mélèzes,05260,Gap,Hautes-Alpes,Provence-Alpes-Côte d'Azur,44.6442109,6.1993686
